date,platform,order_id,sku,product,qty,price,discount,marketplace_fee,packing_cost,ad_cost_allocated,hpp,gross_revenue,net_revenue,net_profit,net_margin,order_status
2026-05-18,Shopee,ORD-1026,RGE-35,Rouge 540 35ml,1,99000,10395,6941,2000,4683,32000,99000,81664,42981,0.4341515151515152,completed
2026-05-18,TikTok Shop,ORD-1027,OCN-30,Ocean Blue 30ml,1,79000,2866,7454,1500,5266,25500,79000,68680,36414,0.4609367088607595,completed
2026-05-18,Tokopedia,ORD-1028,RGE-35,Rouge 540 35ml,1,99000,3756,5663,1200,5854,32000,99000,89581,50527,0.5103737373737374,completed
2026-05-18,TikTok Shop,ORD-1029,RGE-35,Rouge 540 35ml,1,99000,4475,7667,1500,5981,32000,99000,86858,47377,0.47855555555555557,completed
2026-05-18,Shopee,ORD-1030,OCN-30,Ocean Blue 30ml,1,79000,5942,6151,2000,8552,25500,79000,66907,30855,0.39056962025316455,returned
2026-05-18,Shopee,ORD-1031,RGE-35,Rouge 540 35ml,1,99000,11836,6414,2000,4461,32000,99000,80750,42289,0.4271616161616162,completed
2026-05-18,Tokopedia,ORD-1032,SAV-50,Sauvage Night 50ml,1,129000,5488,10911,2000,11904,42000,129000,112601,56697,0.43951162790697673,completed
2026-05-18,Tokopedia,ORD-1033,OCN-30,Ocean Blue 30ml,1,79000,6131,6367,2000,6978,25500,79000,66502,32024,0.40536708860759496,shipped
2026-05-18,Tokopedia,ORD-1034,RGE-35,Rouge 540 35ml,1,99000,11660,5720,1200,11144,32000,99000,81620,37276,0.37652525252525254,completed
2026-05-18,Tokopedia,ORD-1035,OCN-30,Ocean Blue 30ml,1,79000,8564,5886,2000,6910,25500,79000,64550,30140,0.38151898734177214,completed
2026-05-18,Shopee,ORD-1036,VNL-30,Vanilla Sweet 30ml,2,75000,17569,9638,4000,17006,24500,150000,122793,52787,0.35191333333333336,completed
2026-05-18,Shopee,ORD-1037,MSK-30,Musk White 30ml,1,85000,6728,7481,1500,7772,28000,85000,70791,33519,0.39434117647058825,completed
2026-05-18,Shopee,ORD-1038,MSK-30,Musk White 30ml,1,85000,5350,5594,1200,9698,28000,85000,74056,35158,0.4136235294117647,shipped
2026-05-18,Tokopedia,ORD-1039,RGE-35,Rouge 540 35ml,1,99000,11737,7747,2000,4793,32000,99000,79516,40723,0.41134343434343434,completed
2026-05-18,Shopee,ORD-1040,SAV-50,Sauvage Night 50ml,3,129000,43152,22718,3600,24987,42000,387000,321130,166543,0.430343669250646,completed
2026-05-18,Shopee,ORD-1041,MSK-30,Musk White 30ml,1,85000,3001,6125,2000,4969,28000,85000,75874,40905,0.48123529411764704,completed
2026-05-18,Shopee,ORD-1042,MSK-30,Musk White 30ml,1,85000,9052,7903,1500,6091,28000,85000,68045,32454,0.38181176470588235,completed
2026-05-18,Tokopedia,ORD-1043,SAV-50,Sauvage Night 50ml,1,129000,9942,11898,1200,11951,42000,129000,107160,52009,0.40317054263565894,completed
2026-05-18,TikTok Shop,ORD-1044,SAV-50,Sauvage Night 50ml,1,129000,13780,10066,1200,8127,42000,129000,105154,53827,0.41726356589147284,completed
2026-05-18,Shopee,ORD-1045,VNL-30,Vanilla Sweet 30ml,2,75000,16766,13314,3000,5857,24500,150000,119920,62063,0.4137533333333333,completed
2026-05-18,Tokopedia,ORD-1046,MSK-30,Musk White 30ml,1,85000,8509,4956,1500,2568,28000,85000,71535,39467,0.46431764705882356,completed
2026-05-18,Shopee,ORD-1047,RGE-35,Rouge 540 35ml,1,99000,6506,7832,1500,5185,32000,99000,84662,45977,0.4644141414141414,completed
2026-05-18,Tokopedia,ORD-1048,OCN-30,Ocean Blue 30ml,2,79000,15330,11192,4000,4933,25500,158000,131478,71545,0.45281645569620255,completed
2026-05-18,Shopee,ORD-1049,MSK-30,Musk White 30ml,1,85000,9530,8045,1200,5065,28000,85000,67425,33160,0.3901176470588235,completed
2026-05-18,Shopee,ORD-1050,VNL-30,Vanilla Sweet 30ml,1,75000,6826,4903,1200,9118,24500,75000,63271,28453,0.37937333333333334,completed
2026-05-18,Tokopedia,ORD-1051,SAV-50,Sauvage Night 50ml,1,129000,6553,10024,2000,13322,42000,129000,112423,55101,0.4271395348837209,completed
2026-05-18,Shopee,ORD-1052,OCN-30,Ocean Blue 30ml,3,79000,14777,15782,3600,22508,25500,237000,206441,103833,0.43811392405063293,completed
2026-05-18,Shopee,ORD-1053,OCN-30,Ocean Blue 30ml,1,79000,4242,5913,1500,9997,25500,79000,68845,31848,0.4031392405063291,completed
2026-05-18,Tokopedia,ORD-1054,MSK-30,Musk White 30ml,1,85000,4310,7634,1500,7998,28000,85000,73056,35558,0.4183294117647059,completed
2026-05-18,Tokopedia,ORD-1055,OCN-30,Ocean Blue 30ml,1,79000,3413,4963,1200,9645,25500,79000,70624,34279,0.43391139240506327,shipped
2026-05-18,TikTok Shop,ORD-1056,RGE-35,Rouge 540 35ml,1,99000,3014,8170,1200,9862,32000,99000,87816,44754,0.45206060606060605,completed
2026-05-18,Shopee,ORD-1057,OCN-30,Ocean Blue 30ml,1,79000,5940,5971,1200,3767,25500,79000,67089,36622,0.46356962025316456,shipped
2026-05-18,TikTok Shop,ORD-1058,MSK-30,Musk White 30ml,2,85000,19304,14214,3000,5932,28000,170000,136482,71550,0.4208823529411765,completed
2026-05-18,TikTok Shop,ORD-1059,RGE-35,Rouge 540 35ml,1,99000,6201,5943,2000,7408,32000,99000,86856,45448,0.4590707070707071,completed
2026-05-18,TikTok Shop,ORD-1060,OCN-30,Ocean Blue 30ml,1,79000,5492,5808,2000,3787,25500,79000,67700,36413,0.4609240506329114,completed
2026-05-18,Tokopedia,ORD-1061,OCN-30,Ocean Blue 30ml,1,79000,7883,5260,2000,9261,25500,79000,65857,29096,0.36830379746835445,completed
2026-05-19,Shopee,ORD-1062,MSK-30,Musk White 30ml,1,85000,5710,6532,1500,8958,28000,85000,72758,34300,0.40352941176470586,completed
2026-05-19,TikTok Shop,ORD-1063,OCN-30,Ocean Blue 30ml,1,79000,2514,6405,1500,6481,25500,79000,70081,36600,0.46329113924050636,completed
2026-05-19,Shopee,ORD-1064,RGE-35,Rouge 540 35ml,1,99000,7647,8751,2000,7127,32000,99000,82602,41475,0.41893939393939394,completed
2026-05-19,Shopee,ORD-1065,OCN-30,Ocean Blue 30ml,1,79000,7396,5033,2000,4908,25500,79000,66571,34163,0.43244303797468353,completed
2026-05-19,Shopee,ORD-1066,MSK-30,Musk White 30ml,1,85000,7839,7932,1500,6451,28000,85000,69229,33278,0.3915058823529412,completed
2026-05-19,Shopee,ORD-1067,OCN-30,Ocean Blue 30ml,1,79000,7826,6778,2000,9431,25500,79000,64396,27465,0.34765822784810124,completed
2026-05-19,Tokopedia,ORD-1068,RGE-35,Rouge 540 35ml,2,99000,20088,16224,4000,16379,32000,198000,161688,77309,0.39044949494949494,shipped
2026-05-19,Shopee,ORD-1069,RGE-35,Rouge 540 35ml,1,99000,4426,7643,1500,12787,32000,99000,86931,40644,0.41054545454545455,completed
2026-05-19,TikTok Shop,ORD-1070,OCN-30,Ocean Blue 30ml,2,79000,13435,14348,2400,10722,25500,158000,130217,66095,0.4183227848101266,completed
2026-05-19,Tokopedia,ORD-1071,SAV-50,Sauvage Night 50ml,1,129000,13669,9112,2000,13595,42000,129000,106219,48624,0.3769302325581395,completed
2026-05-19,Tokopedia,ORD-1072,VNL-30,Vanilla Sweet 30ml,1,75000,3543,7115,1200,5799,24500,75000,64342,32843,0.43790666666666667,completed
2026-05-19,Tokopedia,ORD-1073,OCN-30,Ocean Blue 30ml,1,79000,7371,6302,2000,7019,25500,79000,65327,30808,0.3899746835443038,completed
2026-05-19,TikTok Shop,ORD-1074,VNL-30,Vanilla Sweet 30ml,1,75000,4074,6975,2000,2277,24500,75000,63951,35174,0.46898666666666666,completed
2026-05-19,Shopee,ORD-1075,OCN-30,Ocean Blue 30ml,1,79000,5743,6555,2000,2681,25500,79000,66702,36521,0.46229113924050635,shipped
2026-05-19,Shopee,ORD-1076,MSK-30,Musk White 30ml,1,85000,6447,5982,1200,2711,28000,85000,72571,40660,0.4783529411764706,completed
2026-05-19,Shopee,ORD-1077,RGE-35,Rouge 540 35ml,1,99000,5974,9305,1200,4362,32000,99000,83721,46159,0.46625252525252525,completed
2026-05-19,Shopee,ORD-1078,OCN-30,Ocean Blue 30ml,1,79000,3328,4726,1500,5800,25500,79000,70946,38146,0.4828607594936709,shipped
2026-05-19,TikTok Shop,ORD-1079,RGE-35,Rouge 540 35ml,2,99000,9017,16446,3000,25144,32000,198000,172537,80393,0.4060252525252525,completed
2026-05-19,Shopee,ORD-1080,RGE-35,Rouge 540 35ml,1,99000,4140,8739,2000,7693,32000,99000,86121,44428,0.44876767676767676,completed
2026-05-19,TikTok Shop,ORD-1081,OCN-30,Ocean Blue 30ml,2,79000,11320,14388,4000,7808,25500,158000,132292,69484,0.4397721518987342,completed
2026-05-19,TikTok Shop,ORD-1082,OCN-30,Ocean Blue 30ml,1,79000,2550,4350,2000,7048,25500,79000,72100,37552,0.4753417721518987,completed
2026-05-19,Shopee,ORD-1083,OCN-30,Ocean Blue 30ml,1,79000,9001,4949,1200,3163,25500,79000,65050,35187,0.4454050632911392,completed
2026-05-19,Shopee,ORD-1084,OCN-30,Ocean Blue 30ml,2,79000,6425,13514,2400,11603,25500,158000,138061,73058,0.46239240506329116,completed
2026-05-19,Shopee,ORD-1085,RGE-35,Rouge 540 35ml,1,99000,10747,8118,2000,3749,32000,99000,80135,42386,0.42814141414141416,completed
2026-05-19,Shopee,ORD-1086,OCN-50,Ocean Blue 50ml,1,119000,9435,8753,2000,4866,38000,119000,100812,55946,0.4701344537815126,completed
2026-05-19,Tokopedia,ORD-1087,SAV-50,Sauvage Night 50ml,1,129000,8050,8562,2000,4021,42000,129000,112388,64367,0.498968992248062,completed
2026-05-19,TikTok Shop,ORD-1088,OCN-30,Ocean Blue 30ml,3,79000,25389,22027,3600,16556,25500,237000,189584,92928,0.3921012658227848,completed
2026-05-19,Shopee,ORD-1089,RGE-35,Rouge 540 35ml,2,99000,21866,14204,4000,9291,32000,198000,161930,84639,0.42746969696969694,returned
2026-05-19,TikTok Shop,ORD-1090,OCN-50,Ocean Blue 50ml,1,119000,6013,9776,2000,13352,38000,119000,103211,49859,0.41898319327731093,completed
2026-05-19,Tokopedia,ORD-1091,OCN-30,Ocean Blue 30ml,2,79000,14316,14949,3000,7353,25500,158000,128735,67382,0.4264683544303797,completed
2026-05-19,Tokopedia,ORD-1092,RGE-35,Rouge 540 35ml,1,99000,4231,8093,1200,3448,32000,99000,86676,50028,0.5053333333333333,completed
2026-05-19,Shopee,ORD-1093,RGE-35,Rouge 540 35ml,1,99000,6236,8510,2000,11857,32000,99000,84254,38397,0.38784848484848483,completed
2026-05-19,Tokopedia,ORD-1094,OCN-50,Ocean Blue 50ml,1,119000,7726,10758,1500,5423,38000,119000,100516,55593,0.46716806722689075,completed
2026-05-19,Tokopedia,ORD-1095,OCN-30,Ocean Blue 30ml,1,79000,2788,7409,1200,8255,25500,79000,68803,33848,0.42845569620253166,completed
2026-05-19,Tokopedia,ORD-1096,VNL-30,Vanilla Sweet 30ml,1,75000,6092,6347,1200,6358,24500,75000,62561,30503,0.40670666666666666,completed
2026-05-19,Tokopedia,ORD-1097,OCN-30,Ocean Blue 30ml,1,79000,4466,7462,2000,7860,25500,79000,67072,31712,0.40141772151898736,completed
2026-05-19,Tokopedia,ORD-1098,OCN-30,Ocean Blue 30ml,2,79000,18159,9187,2400,8738,25500,158000,130654,68516,0.4336455696202532,completed
2026-05-19,TikTok Shop,ORD-1099,OCN-30,Ocean Blue 30ml,1,79000,3368,6339,1200,8558,25500,79000,69293,34035,0.4308227848101266,completed
2026-05-19,TikTok Shop,ORD-1100,OCN-30,Ocean Blue 30ml,1,79000,3160,4955,1200,2999,25500,79000,70885,41186,0.5213417721518987,completed
2026-05-19,Shopee,ORD-1101,OCN-50,Ocean Blue 50ml,1,119000,4724,8196,1500,5551,38000,119000,106080,61029,0.5128487394957983,shipped
2026-05-19,Shopee,ORD-1102,SAV-50,Sauvage Night 50ml,2,129000,21213,20979,2400,28095,42000,258000,215808,101313,0.3926860465116279,completed
2026-05-19,Tokopedia,ORD-1103,OCN-30,Ocean Blue 30ml,1,79000,4683,7501,2000,4831,25500,79000,66816,34485,0.43651898734177214,returned
2026-05-19,Shopee,ORD-1104,SAV-50,Sauvage Night 50ml,1,129000,8316,7147,2000,4748,42000,129000,113537,64789,0.5022403100775193,completed
2026-05-19,Shopee,ORD-1105,OCN-30,Ocean Blue 30ml,2,79000,6102,9254,2400,12969,25500,158000,142644,76275,0.48275316455696204,completed
2026-05-19,Shopee,ORD-1106,SAV-50,Sauvage Night 50ml,2,129000,17693,18607,4000,21473,42000,258000,221700,112227,0.43498837209302327,completed
2026-05-19,Shopee,ORD-1107,MSK-30,Musk White 30ml,1,85000,4291,6631,2000,5576,28000,85000,74078,38502,0.45296470588235294,completed
2026-05-19,Tokopedia,ORD-1108,RGE-35,Rouge 540 35ml,1,99000,8803,5840,1200,7307,32000,99000,84357,43850,0.44292929292929295,completed
2026-05-19,Tokopedia,ORD-1109,MSK-30,Musk White 30ml,1,85000,7727,5895,1200,8396,28000,85000,71378,33782,0.39743529411764705,completed
2026-05-19,TikTok Shop,ORD-1110,RGE-35,Rouge 540 35ml,1,99000,8721,8632,1200,9458,32000,99000,81647,38989,0.3938282828282828,completed
2026-05-19,TikTok Shop,ORD-1111,OCN-30,Ocean Blue 30ml,3,79000,7380,16806,6000,9298,25500,237000,212814,121016,0.5106160337552743,completed
2026-05-19,Shopee,ORD-1112,SAV-50,Sauvage Night 50ml,2,129000,21274,21798,3000,19182,42000,258000,214928,108746,0.4214961240310078,completed
2026-05-19,Shopee,ORD-1113,VNL-30,Vanilla Sweet 30ml,1,75000,3160,7104,1200,2723,24500,75000,64736,36313,0.48417333333333334,completed
2026-05-19,Shopee,ORD-1114,OCN-50,Ocean Blue 50ml,1,119000,11204,10463,1500,12521,38000,119000,97333,45312,0.3807731092436975,completed
2026-05-19,Shopee,ORD-1115,OCN-30,Ocean Blue 30ml,1,79000,3050,6500,2000,8928,25500,79000,69450,33022,0.418,shipped
2026-05-19,Shopee,ORD-1116,OCN-30,Ocean Blue 30ml,1,79000,3519,5001,2000,7529,25500,79000,70480,35451,0.44874683544303795,completed
2026-05-19,Tokopedia,ORD-1117,OCN-30,Ocean Blue 30ml,1,79000,5442,5832,1500,3981,25500,79000,67726,36745,0.465126582278481,completed
2026-05-19,Shopee,ORD-1118,OCN-30,Ocean Blue 30ml,1,79000,6551,4459,1500,3743,25500,79000,67990,37247,0.47148101265822784,completed
2026-05-19,Tokopedia,ORD-1119,VNL-30,Vanilla Sweet 30ml,1,75000,4608,5769,2000,4983,24500,75000,64623,33140,0.4418666666666667,completed
2026-05-19,TikTok Shop,ORD-1120,RGE-35,Rouge 540 35ml,1,99000,8051,6624,1500,8621,32000,99000,84325,42204,0.4263030303030303,completed
2026-05-19,TikTok Shop,ORD-1121,OCN-30,Ocean Blue 30ml,2,79000,18572,9304,4000,19152,25500,158000,130124,55972,0.35425316455696204,completed
2026-05-19,TikTok Shop,ORD-1122,OCN-50,Ocean Blue 50ml,1,119000,4769,10093,1200,12259,38000,119000,104138,52679,0.44268067226890756,completed
2026-05-19,TikTok Shop,ORD-1123,VNL-30,Vanilla Sweet 30ml,1,75000,4409,6722,1500,6436,24500,75000,63869,31433,0.4191066666666667,completed
2026-05-19,Tokopedia,ORD-1124,OCN-30,Ocean Blue 30ml,1,79000,7245,5155,1200,9200,25500,79000,66600,30700,0.3886075949367089,completed
2026-05-19,Shopee,ORD-1125,VNL-30,Vanilla Sweet 30ml,1,75000,4104,4703,1500,2877,24500,75000,66193,37316,0.4975466666666667,completed
2026-05-19,Tokopedia,ORD-1126,OCN-50,Ocean Blue 50ml,1,119000,9016,10913,2000,10826,38000,119000,99071,48245,0.4054201680672269,completed
2026-05-19,TikTok Shop,ORD-1127,SAV-50,Sauvage Night 50ml,2,129000,7846,14275,2400,21033,42000,258000,235879,128446,0.49785271317829455,completed
2026-05-19,Shopee,ORD-1128,RGE-35,Rouge 540 35ml,2,99000,23676,17993,4000,9882,32000,198000,156331,78449,0.39620707070707073,completed
2026-05-19,Shopee,ORD-1129,MSK-30,Musk White 30ml,1,85000,8480,5543,1500,4072,28000,85000,70977,37405,0.4400588235294118,completed
2026-05-19,Shopee,ORD-1130,SAV-50,Sauvage Night 50ml,1,129000,4282,10761,1500,15664,42000,129000,113957,54793,0.4247519379844961,completed
2026-05-19,Tokopedia,ORD-1131,VNL-30,Vanilla Sweet 30ml,2,75000,7436,10075,3000,18234,24500,150000,132489,62255,0.4150333333333333,completed
2026-05-19,Tokopedia,ORD-1132,VNL-30,Vanilla Sweet 30ml,1,75000,4271,7111,1500,5793,24500,75000,63618,31825,0.42433333333333334,completed
2026-05-19,Tokopedia,ORD-1133,OCN-50,Ocean Blue 50ml,1,119000,11422,9979,1500,4088,38000,119000,97599,54011,0.45387394957983196,completed
2026-05-19,Shopee,ORD-1134,MSK-30,Musk White 30ml,1,85000,6044,5013,1500,5546,28000,85000,73943,38897,0.45761176470588233,completed
2026-05-19,Shopee,ORD-1135,OCN-30,Ocean Blue 30ml,1,79000,4746,5376,1500,8486,25500,79000,68878,33392,0.42268354430379745,completed
2026-05-19,Tokopedia,ORD-1136,OCN-30,Ocean Blue 30ml,2,79000,12367,13678,2400,13443,25500,158000,131955,65112,0.41210126582278483,completed
2026-05-20,Tokopedia,ORD-1137,OCN-30,Ocean Blue 30ml,2,79000,16964,8835,2400,19553,25500,158000,132201,59248,0.37498734177215187,completed
2026-05-20,Tokopedia,ORD-1138,RGE-35,Rouge 540 35ml,1,99000,6150,8636,1200,6595,32000,99000,84214,44419,0.4486767676767677,completed
2026-05-20,Shopee,ORD-1139,RGE-35,Rouge 540 35ml,2,99000,10465,18706,3000,22523,32000,198000,168829,79306,0.4005353535353535,completed
2026-05-20,Shopee,ORD-1140,SAV-50,Sauvage Night 50ml,1,129000,13235,8451,2000,14004,42000,129000,107314,49310,0.3822480620155039,completed
2026-05-20,Tokopedia,ORD-1141,MSK-30,Musk White 30ml,1,85000,3648,5585,1200,9729,28000,85000,75767,36838,0.43338823529411763,completed
2026-05-20,Shopee,ORD-1142,VNL-30,Vanilla Sweet 30ml,1,75000,7653,4183,1500,7607,24500,75000,63164,29557,0.39409333333333335,completed
2026-05-20,Tokopedia,ORD-1143,RGE-35,Rouge 540 35ml,2,99000,17041,12418,4000,12824,32000,198000,168541,87717,0.44301515151515153,completed
2026-05-20,TikTok Shop,ORD-1144,SAV-50,Sauvage Night 50ml,1,129000,11622,11098,2000,5828,42000,129000,106280,56452,0.4376124031007752,completed
2026-05-20,Shopee,ORD-1145,MSK-30,Musk White 30ml,1,85000,2575,7218,2000,4217,28000,85000,75207,40990,0.48223529411764704,completed
2026-05-20,TikTok Shop,ORD-1146,OCN-30,Ocean Blue 30ml,2,79000,16127,14990,4000,13775,25500,158000,126883,58108,0.3677721518987342,completed
2026-05-20,Shopee,ORD-1147,VNL-30,Vanilla Sweet 30ml,1,75000,4349,4571,1200,2672,24500,75000,66080,37708,0.5027733333333333,completed
2026-05-20,Tokopedia,ORD-1148,SAV-50,Sauvage Night 50ml,2,129000,14057,18962,3000,22558,42000,258000,224981,115423,0.4473759689922481,completed
2026-05-20,Tokopedia,ORD-1149,MSK-30,Musk White 30ml,1,85000,6026,5903,1200,7333,28000,85000,73071,36538,0.42985882352941174,completed
2026-05-20,Shopee,ORD-1150,OCN-30,Ocean Blue 30ml,1,79000,5080,4998,1500,9912,25500,79000,68922,32010,0.4051898734177215,completed
2026-05-20,Shopee,ORD-1151,RGE-35,Rouge 540 35ml,1,99000,5302,7138,1200,11869,32000,99000,86560,41491,0.4191010101010101,completed
2026-05-20,TikTok Shop,ORD-1152,RGE-35,Rouge 540 35ml,1,99000,4038,8545,2000,9661,32000,99000,86417,42756,0.43187878787878786,completed
2026-05-20,Shopee,ORD-1153,OCN-30,Ocean Blue 30ml,1,79000,4935,5438,1500,8239,25500,79000,68627,33388,0.42263291139240505,completed
2026-05-20,Tokopedia,ORD-1154,MSK-30,Musk White 30ml,1,85000,7209,6253,1200,3701,28000,85000,71538,38637,0.4545529411764706,shipped
2026-05-20,TikTok Shop,ORD-1155,SAV-50,Sauvage Night 50ml,1,129000,15366,10911,1200,9384,42000,129000,102723,50139,0.3886744186046512,completed
2026-05-20,TikTok Shop,ORD-1156,RGE-35,Rouge 540 35ml,1,99000,4779,8279,1200,4813,32000,99000,85942,47929,0.48413131313131313,completed
2026-05-20,Shopee,ORD-1157,RGE-35,Rouge 540 35ml,1,99000,6328,8791,1500,7241,32000,99000,83881,43140,0.43575757575757573,completed
2026-05-20,TikTok Shop,ORD-1158,MSK-30,Musk White 30ml,1,85000,6430,7760,1200,5052,28000,85000,70810,36558,0.43009411764705885,completed
2026-05-20,Tokopedia,ORD-1159,MSK-30,Musk White 30ml,2,85000,18123,11851,4000,18855,28000,170000,140026,61171,0.3598294117647059,completed
2026-05-20,Shopee,ORD-1160,SAV-50,Sauvage Night 50ml,1,129000,8049,9773,1200,16264,42000,129000,111178,51714,0.40088372093023256,completed
2026-05-20,Shopee,ORD-1161,OCN-50,Ocean Blue 50ml,1,119000,6841,6825,1200,11803,38000,119000,105334,54331,0.456563025210084,completed
2026-05-20,Tokopedia,ORD-1162,OCN-30,Ocean Blue 30ml,2,79000,9978,13433,3000,10226,25500,158000,134589,70363,0.4453354430379747,completed
2026-05-20,Shopee,ORD-1163,RGE-35,Rouge 540 35ml,2,99000,9547,11581,2400,14962,32000,198000,176872,95510,0.4823737373737374,completed
2026-05-20,Shopee,ORD-1164,MSK-30,Musk White 30ml,1,85000,7393,7595,2000,6258,28000,85000,70012,33754,0.3971058823529412,completed
2026-05-20,TikTok Shop,ORD-1165,RGE-35,Rouge 540 35ml,1,99000,7372,6351,1500,3860,32000,99000,85277,47917,0.484010101010101,completed
2026-05-20,Shopee,ORD-1166,OCN-30,Ocean Blue 30ml,1,79000,2749,7068,1500,5824,25500,79000,69183,36359,0.4602405063291139,completed
2026-05-20,Tokopedia,ORD-1167,MSK-30,Musk White 30ml,2,85000,20076,15229,2400,7745,28000,170000,134695,68550,0.4032352941176471,completed
2026-05-20,TikTok Shop,ORD-1168,RGE-35,Rouge 540 35ml,1,99000,10663,7644,2000,6862,32000,99000,80693,39831,0.4023333333333333,completed
2026-05-20,Shopee,ORD-1169,SAV-50,Sauvage Night 50ml,1,129000,8489,9359,1200,15765,42000,129000,111152,52187,0.4045503875968992,completed
2026-05-20,Shopee,ORD-1170,RGE-35,Rouge 540 35ml,2,99000,21857,14107,3000,13006,32000,198000,162036,82030,0.41429292929292927,completed
2026-05-20,TikTok Shop,ORD-1171,MSK-30,Musk White 30ml,2,85000,18665,12061,2400,7534,28000,170000,139274,73340,0.43141176470588233,completed
2026-05-20,Shopee,ORD-1172,OCN-30,Ocean Blue 30ml,1,79000,4793,6902,1500,6998,25500,79000,67305,33307,0.42160759493670885,completed
2026-05-20,Tokopedia,ORD-1173,RGE-35,Rouge 540 35ml,1,99000,6404,7083,1500,3766,32000,99000,85513,48247,0.48734343434343436,completed
2026-05-20,Shopee,ORD-1174,RGE-35,Rouge 540 35ml,1,99000,6576,6031,1500,7764,32000,99000,86393,45129,0.45584848484848484,completed
2026-05-20,Tokopedia,ORD-1175,MSK-30,Musk White 30ml,1,85000,10188,4849,1200,8367,28000,85000,69963,32396,0.3811294117647059,completed
